tracker_id,team,seconds_active,observations,distance_m,avg_speed_kmh,top_speed_kmh,sprint_count,sprint_distance_m,avg_x_m,avg_y_m,control_s,touches,speed_reliable
109,0,2.48,27,20.59,38.88,0.0,1,20.59,78.98,40.7,0.0,0,True
82,0,5.04,64,17.65,12.04,22.29,0,0.0,96.46,36.65,0.0,0,True
90,0,5.04,54,15.83,11.3,19.31,0,0.0,98.34,34.22,0.0,0,True
96,0,11.04,98,15.78,10.96,24.53,0,0.0,76.32,34.19,0.0,0,True
91,1,5.04,62,10.26,7.64,16.94,0,0.0,96.6,35.99,0.0,0,True
86,1,10.4,95,9.6,12.18,24.12,0,0.0,90.9,32.43,0.0,0,True
58,1,2.8,36,9.26,29.0,0.0,1,7.6,108.5,16.26,2.9,1,True
105,0,3.28,42,7.89,8.37,11.83,0,0.0,88.18,52.29,0.0,0,True
84,1,11.52,123,7.76,11.03,26.2,0,0.0,65.16,32.23,0.2,2,True
95,1,2.88,35,7.57,9.3,20.39,0,0.0,100.96,30.57,0.0,0,True
107,0,2.8,34,6.86,8.56,20.42,0,0.0,106.01,41.49,0.0,0,True
56,1,0.8,11,6.63,33.17,0.0,0,0.0,110.22,0.8,0.0,0,True
135,1,2.08,13,6.52,20.83,0.0,0,0.0,26.77,29.61,0.0,0,True
39,1,2.64,38,4.98,7.69,14.16,0,0.0,74.07,12.09,0.8,2,True
139,1,1.04,11,4.56,21.54,0.0,0,0.0,16.75,24.79,0.0,0,True
28,0,6.64,42,4.18,9.29,0.0,0,0.0,64.21,18.32,0.0,0,True
134,1,2.56,16,3.91,13.7,0.0,0,0.0,23.83,33.47,0.0,0,True
15,1,6.72,70,3.84,43.2,0.0,0,0.0,62.75,22.66,0.2,2,True
50,1,1.52,22,3.63,8.47,0.0,0,0.0,109.68,5.35,0.0,0,True
53,0,1.52,20,3.63,8.7,0.0,0,0.0,107.59,6.62,0.0,0,True
85,1,5.84,74,3.63,32.67,0.0,0,0.0,101.24,36.12,0.0,0,True
87,1,5.04,97,3.54,39.82,0.0,0,0.0,100.5,34.98,0.6,1,True
89,0,3.36,43,3.51,11.98,0.0,0,0.0,104.07,32.19,0.0,0,True
81,1,5.04,64,3.2,10.39,0.0,0,0.0,90.17,31.0,0.2,1,True
24,1,9.04,133,3.09,6.11,0.0,0,0.0,71.74,18.98,0.7,3,True
34,1,9.04,117,3.06,10.83,0.0,0,0.0,87.3,25.98,0.0,0,True
79,0,5.84,31,2.88,43.2,0.0,0,0.0,78.93,21.88,0.0,0,True
100,0,3.76,48,2.69,8.74,0.0,0,0.0,46.89,32.61,0.0,0,True
45,1,1.36,13,2.4,11.61,0.0,0,0.0,100.81,10.28,0.0,0,True
19,0,1.44,26,1.92,43.2,0.0,0,0.0,97.71,13.78,0.1,1,True
132,1,3.28,24,1.92,43.2,0.0,0,0.0,13.56,41.05,0.0,0,True
103,0,3.6,46,1.88,6.36,0.0,0,0.0,66.23,38.76,0.0,0,True
128,1,3.28,23,1.73,25.89,0.0,0,0.0,17.83,37.27,0.0,0,True
93,0,5.04,62,1.65,37.12,0.0,0,0.0,90.4,35.28,0.0,0,True
148,0,0.96,26,1.26,28.35,0.0,0,0.0,8.78,41.43,0.0,0,True
5,1,2.0,33,0.96,43.2,0.0,0,0.0,40.08,14.53,0.0,0,True
77,0,4.24,54,0.96,43.2,0.0,0,0.0,69.08,35.45,0.0,0,True
94,0,10.72,62,0.96,43.2,0.0,0,0.0,80.55,35.33,0.0,0,True
115,0,3.28,41,0.96,43.2,0.0,0,0.0,29.65,41.33,0.0,0,True
116,1,3.28,42,0.96,43.2,0.0,0,0.0,41.86,45.91,0.0,0,True
122,1,1.84,24,0.96,43.2,0.0,0,0.0,28.67,28.34,0.0,0,True
123,1,3.28,82,0.96,43.2,0.0,0,0.0,22.08,36.06,0.0,0,True
124,0,3.28,58,0.96,43.2,0.0,0,0.0,15.0,40.11,0.0,0,True
126,0,1.36,17,0.96,43.2,0.0,0,0.0,31.34,32.17,0.0,0,True
127,1,1.68,20,0.96,43.2,0.0,0,0.0,15.35,35.4,0.0,0,True
129,1,0.96,11,0.96,43.2,0.0,0,0.0,24.12,31.86,0.0,0,True
130,0,1.84,18,0.96,43.2,0.0,0,0.0,26.4,32.1,0.0,0,True
131,1,0.72,10,0.96,43.2,0.0,0,0.0,15.6,62.36,0.0,0,True
133,1,0.88,12,0.96,43.2,0.0,0,0.0,24.35,64.91,0.0,0,True
35,0,4.56,57,0.92,4.28,0.0,0,0.0,73.64,27.98,0.0,0,True
57,0,1.52,20,0.84,37.67,0.0,0,0.0,108.0,1.31,0.0,0,True
31,0,6.56,35,0.39,1.62,1.95,0,0.0,70.81,12.35,0.0,0,True
112,1,0.96,12,0.37,1.94,0.0,0,0.0,107.87,42.17,0.0,0,True
23,1,9.2,61,0.33,7.83,0.0,0,0.0,80.14,14.66,0.2,2,True
117,1,3.2,41,0.31,1.63,0.0,0,0.0,49.31,22.31,0.0,0,True
66,1,1.2,16,0.27,1.46,0.0,0,0.0,108.33,10.97,0.0,0,True
65,0,1.2,16,0.24,2.1,0.0,0,0.0,107.33,10.24,0.0,0,True
114,1,2.88,36,0.18,4.02,0.0,0,0.0,49.66,41.8,0.0,0,True
38,0,2.88,31,0.09,1.72,0.0,0,0.0,77.01,4.29,0.3,1,True
63,1,1.52,20,0.04,1.1,0.0,0,0.0,107.45,9.8,0.0,0,True
27,0,1.2,17,0.0,1.07,0.0,0,0.0,20.35,14.12,0.0,0,True
54,1,0.48,7,0.0,0.0,0.0,0,0.0,76.37,48.04,0.0,0,True
61,0,0.16,3,0.0,0.0,0.0,0,0.0,120.0,0.0,0.0,0,True
67,0,0.4,2,0.0,0.0,0.0,0,0.0,101.54,15.68,0.0,0,True
74,1,0.32,5,0.0,0.0,0.0,0,0.0,91.54,29.78,0.0,0,True
83,1,0.0,1,0.0,0.0,0.0,0,0.0,99.4,16.89,0.0,0,True
88,0,3.52,42,0.0,0.0,0.0,0,0.0,107.27,30.65,0.0,0,True
92,1,0.88,2,0.0,0.0,0.0,0,0.0,103.08,13.36,0.0,0,True
99,0,0.48,7,0.0,0.0,0.0,0,0.0,108.5,5.74,0.0,0,True
104,0,0.56,5,0.0,0.0,0.0,0,0.0,120.0,38.27,0.0,0,True
106,0,0.4,6,0.0,0.0,0.0,0,0.0,106.29,38.57,0.0,0,True
121,1,1.68,10,0.0,1.43,0.0,0,0.0,31.35,47.06,0.0,0,True
125,1,0.48,7,0.0,0.0,0.0,0,0.0,32.48,29.85,0.0,0,True
137,1,0.16,2,0.0,0.0,0.0,0,0.0,12.31,68.33,0.0,0,True
143,1,0.72,2,0.0,0.0,0.0,0,0.0,12.42,28.73,0.0,0,True
153,0,0.0,1,0.0,0.0,0.0,0,0.0,6.59,46.44,0.0,0,True
154,1,0.0,1,0.0,0.0,0.0,0,0.0,23.97,50.26,0.0,0,True
156,1,0.64,8,0.0,0.0,0.0,0,0.0,6.63,36.53,0.0,0,True
160,0,0.4,6,0.0,0.0,0.0,0,0.0,7.11,30.74,0.0,0,True
161,0,0.0,1,0.0,0.0,0.0,0,0.0,11.18,39.5,0.0,0,True
163,1,0.08,2,0.0,0.0,0.0,0,0.0,6.11,38.42,0.0,0,True
