tracker_id,team,seconds_active,observations,distance_m,avg_speed_kmh,top_speed_kmh,sprint_count,sprint_distance_m,avg_x_m,avg_y_m,control_s,touches,speed_reliable
6,1,18.56,53,21.92,17.4,20.61,0,0.0,48.71,52.33,0.0,0,True
5,0,3.04,18,20.01,23.36,0.0,1,16.26,23.46,51.46,1.1,1,True
22,1,23.68,60,13.98,7.38,24.77,0,0.0,49.94,55.51,0.0,0,True
41,0,17.6,88,12.97,9.27,22.6,0,0.0,58.13,52.3,0.0,0,True
18,0,23.68,142,12.94,4.71,7.55,0,0.0,61.96,36.02,0.0,0,True
82,1,8.48,31,12.18,13.14,21.14,0,0.0,93.23,44.52,1.0,1,True
45,1,8.32,30,12.16,10.78,14.38,0,0.0,67.95,28.3,0.0,0,True
70,1,16.16,41,12.02,6.44,26.41,1,9.49,81.56,47.83,0.0,0,True
104,1,7.2,50,11.48,10.4,0.0,0,0.0,82.39,43.46,0.0,0,True
44,1,14.4,60,11.33,9.34,28.08,0,0.0,59.97,39.66,0.0,0,True
1,1,6.24,39,10.28,11.51,13.6,0,0.0,37.66,49.0,0.0,0,True
66,1,16.8,39,9.65,13.25,0.0,0,0.0,79.6,38.87,0.0,0,True
3,1,10.08,60,9.3,3.46,7.44,0,0.0,39.28,38.13,0.0,0,True
133,1,2.72,16,9.23,11.88,0.0,0,0.0,97.69,40.81,0.0,0,True
40,0,18.4,112,9.13,9.38,18.53,0,0.0,74.23,52.67,1.0,2,True
9,0,16.32,82,8.98,6.46,10.31,0,0.0,40.32,47.69,0.0,0,True
14,0,23.2,107,8.23,6.68,8.74,0,0.0,44.57,40.52,1.8,2,True
74,0,5.76,21,7.94,11.05,0.0,0,0.0,51.34,12.63,0.0,0,True
23,1,9.92,57,7.1,8.44,0.0,0,0.0,48.7,24.75,0.0,0,True
17,0,6.4,31,6.75,7.36,12.44,0,0.0,35.79,33.11,0.0,0,True
19,0,6.72,26,6.62,9.67,0.0,0,0.0,30.23,51.7,0.0,0,True
105,0,7.04,41,5.25,14.77,0.0,0,0.0,78.2,39.69,0.0,0,True
78,0,14.72,59,4.9,6.51,0.0,0,0.0,80.36,44.14,0.0,0,True
13,0,10.08,63,4.7,5.32,10.72,0,0.0,49.35,41.22,0.0,0,True
16,1,6.88,43,4.48,5.01,7.98,0,0.0,41.19,39.6,0.0,0,True
4,1,7.84,35,4.36,3.18,6.37,0,0.0,27.3,28.98,0.0,0,True
